icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
4545,"HOLT, Rush Dew",Senate,Democrat,Right,0.283,0.8,WV,1905,1955,greatest,South,63,53,0.841269841,74,76,3,0.666666667,1,0.833333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5245,"KIMBALL, Henry Mahlon",House,Republican,Right,0.398,0.132,MI,1878,1935,missionary,Midwest,6,5,0.833333333,74,74,1,0.833333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6004,"MARSHALL, Leroy Tate",House,Republican,Center,0.394,-0.165,OH,1883,1950,lost,Midwest,12,10,0.833333333,73,74,1,0.833333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1188,"BUCHANAN, James Paul",House,Democrat,Center,-0.481,0.048,TX,1867,1937,missionary,Southwest,12,10,0.833333333,63,75,2,0.818181818,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8253,"SCHAFER, John Charles",House,Republican,Right,0.294,0.798,WI,1893,1962,lost,Midwest,30,25,0.833333333,68,76,1,X,X,0.833333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9214,"TAYLOR, James Willis",House,Republican,Right,0.259,0.321,TN,1880,1939,missionary,South,35,29,0.828571429,66,76,3,0.909090909,0.888888889,0.733333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10815,"MURPHY, Maurice J., Jr.",Senate,Republican,Center,0.331,-0.13,NH,1927,2002,greatest,North,29,24,0.827586207,87,87,1,X,X,X,X,X,X,X,X,X,X,X,X,X,0.827586207,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1609,"CAVICCHIA, Peter Angelo",House,Republican,Center,0.272,-0.962,NJ,1879,1967,missionary,North,11,9,0.818181818,72,74,1,0.818181818,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4526,"HOLLISTER, John Baker",House,Republican,Right,0.538,-0.382,OH,1890,1979,lost,Midwest,11,9,0.818181818,72,74,1,0.818181818,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6815,"MURPHY, Richard Louis",Senate,Democrat,Center,-0.143,0.443,IA,1875,1936,missionary,Midwest,16,13,0.8125,73,74,1,0.8125,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
412,"BANTA, Parke Monroe",House,Republican,Right,0.594,0.188,MO,1891,1970,lost,Midwest,16,13,0.8125,80,80,1,X,X,X,X,X,X,0.8125,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6629,"MOORE, Edward Hall",Senate,Republican,Right,0.642,0.52,OK,1871,1950,missionary,Southwest,52,42,0.807692308,78,80,3,X,X,X,X,0.722222222,0.941176471,0.764705882,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5776,"LORD, Bert",House,Republican,Center,0.418,-0.416,NY,1869,1939,missionary,North,25,20,0.8,74,76,3,0.888888889,0.818181818,0.6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10261,"WILSON, William Henry",House,Republican,Center,0.453,-0.755,PA,1877,1937,missionary,North,10,8,0.8,74,74,1,0.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2289,"CUTTING, Bronson Murray",Senate,Republican,Right,0.227,0.833,NM,1888,1935,lost,Southwest,10,8,0.8,70,74,1,0.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7012,"O'CONNELL, Jerry Joseph",House,Democrat,Left,-0.396,-0.918,MT,1909,1956,greatest,Rockies,10,8,0.8,75,75,1,X,0.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5839,"LUNDEEN, Ernest",House,Independent,Right,0.217,0.976,MN,1878,1940,missionary,Midwest,81,64,0.790123457,65,76,3,0.714285714,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5839,"LUNDEEN, Ernest",Senate,Independent,Right,0.217,0.976,MN,1878,1940,missionary,Midwest,81,64,0.790123457,65,76,3,X,0.5,0.859649123,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
