icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
10510,"CLANCY, Donald Daniel",House,Republican,Center,0.403,-0.002,OH,1921,2007,greatest,Midwest,409,189,0.462102689,87,94,8,X,X,X,X,X,X,X,X,X,X,X,X,X,0.487804878,0.533333333,0.588235294,0.555555556,0.428571429,0.259259259,0.506329114,0.409638554,X,X,X,X,X,X,X,X
14406,"BENJAMIN, Adam, Jr.",House,Democrat,Center,-0.267,0.136,IN,1935,1982,silent,Midwest,422,195,0.462085308,95,97,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.49112426,0.52,0.330097087,X,X,X,X,X
9580,"UTTERBACK, Hubert",House,Democrat,Right,-0.248,0.613,IA,1880,1942,missionary,Midwest,13,6,0.461538462,74,74,1,0.461538462,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
3375,"FRIES, Frank William",House,Democrat,Left,-0.402,-0.607,IL,1893,1980,lost,Midwest,39,18,0.461538462,75,76,2,X,0.444444444,0.466666667,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1857,"CLUETT, Ernest Harold",House,Republican,Right,0.343,0.12,NY,1874,1954,missionary,North,65,30,0.461538462,75,77,3,X,0.909090909,0.5,0.230769231,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4431,"HILLELSON, Jeffrey Paul",House,Republican,Center,0.354,-0.133,MO,1919,2003,greatest,Midwest,13,6,0.461538462,83,83,1,X,X,X,X,X,X,X,X,X,0.461538462,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15502,"CONRAD, Kent",Senate,Democrat,Right,-0.296,0.582,ND,1948,NA,boomer,Midwest,310,143,0.461290323,100,112,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.492424242,0.446428571,0.424242424
7415,"PHILLIPS, John",House,Republican,Center,0.474,-0.219,CA,1887,1983,lost,West,102,47,0.460784314,78,84,7,X,X,X,X,0.352941176,0.48,0.333333333,0.636363636,0.555555556,0.454545455,0.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2533,"DEVINE, Samuel Leeper",House,Republican,Right,0.502,0.074,OH,1915,1997,greatest,Midwest,756,348,0.46031746,86,96,11,X,X,X,X,X,X,X,X,X,X,X,X,0.65,0.571428571,0.586206897,0.622222222,0.585365854,0.461538462,0.254237288,0.441860465,0.488636364,0.380368098,0.458333333,X,X,X,X,X,X
14014,"FROEHLICH, Harold Vernon",House,Republican,Center,0.296,-0.052,WI,1932,NA,silent,Midwest,87,40,0.459770115,93,93,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.459770115,X,X,X,X,X,X,X,X,X
14307,"LEAHY, Patrick Joseph",Senate,Democrat,Left,-0.361,-0.129,VT,1940,NA,silent,North,905,416,0.459668508,94,116,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.443181818,0.385416667,0.258064516,0.543478261,0.639175258,0.515384615,0.530769231,0.392857143,0.358208955
868,"BOSCH, Albert Henry",House,Republican,Center,0.383,-0.224,NY,1908,2005,greatest,North,74,34,0.459459459,83,86,4,X,X,X,X,X,X,X,X,X,0.166666667,0.428571429,0.551724138,0.526315789,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15031,"KOLTER, Joseph Paul",House,Democrat,Center,-0.28,0.388,PA,1926,NA,greatest,North,505,232,0.459405941,98,102,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.532786885,0.571428571,0.457746479,0.284090909,0.317073171
10760,"OTTINGER, Richard Lawrence",House,Democrat,Left,-0.391,-0.771,NY,1929,NA,silent,North,773,355,0.459249677,89,98,8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.038461538,0.195121951,0.636363636,X,X,0.333333333,0.556213018,0.418918919,0.550458716,0.595419847,X,X,X,X
15033,"LEVIN, Sander Martin",House,Democrat,Left,-0.379,-0.091,MI,1931,NA,silent,Midwest,545,250,0.458715596,98,115,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.477941176,0.598214286,0.496815287,0.326315789,0.2
14203,"BAUCUS, Max Sieben",House,Democrat,Center,-0.212,0.017,MT,1941,NA,silent,Rockies,951,436,0.458464774,94,113,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.390804598,0.440559441,X,X,X,X,X,X,X
14203,"BAUCUS, Max Sieben",Senate,Democrat,Center,-0.212,0.017,MT,1941,NA,silent,Rockies,951,436,0.458464774,94,113,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.270588235,0.528846154,0.608695652,0.537878788,0.503875969,0.392857143,0.373134328
14709,"LEVIN, Carl",Senate,Democrat,Left,-0.395,-0.116,MI,1934,NA,silent,Midwest,733,336,0.458390177,96,113,7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.270833333,0.57,0.604166667,0.534351145,0.511450382,0.339285714,0.298507463
5423,"LAMBETH, John Walter",House,Democrat,Right,-0.015,0.789,NC,1896,1961,lost,South,24,11,0.458333333,72,75,2,0.6,0.222222222,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2948,"ELSTON, Charles Henry",House,Republican,Center,0.385,-0.483,OH,1891,1980,lost,Midwest,144,66,0.458333333,76,82,7,X,X,0.71875,0.435897436,0.1875,0.458333333,0.1875,0.6,0.428571429,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14445,"PEASE, Donald James",House,Democrat,Left,-0.308,-0.329,OH,1931,2002,silent,Midwest,964,441,0.45746888,95,102,8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.392857143,0.340136054,0.457943925,0.514705882,0.643478261,0.516339869,0.425531915,0.295454545
8138,"RUSSELL, Richard Brevard, Jr.",Senate,Democrat,Right,0.005,1,GA,1897,1971,lost,South,669,306,0.457399103,72,92,19,0.5,0.25,0.129032258,0.128205128,0.35,0.277777778,0.2,0.538461538,0.142857143,0.611111111,0.520833333,0.736842105,0.708333333,0.693548387,0.75862069,0.596153846,0.314285714,0.25,X,X,X,X,X,X,X,X,X,X,X
1103,"BROWN, Charles Harrison",House,Democrat,Right,-0.363,0.564,MO,1920,2003,greatest,Midwest,46,21,0.456521739,85,86,2,X,X,X,X,X,X,X,X,X,X,X,0.407407407,0.526315789,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10528,"ICHORD, Richard Howard, II",House,Democrat,Right,0.001,0.707,MO,1926,1992,greatest,Midwest,711,324,0.455696203,87,96,10,X,X,X,X,X,X,X,X,X,X,X,X,X,0.421052632,0.464285714,0.490196078,0.564102564,0.390243902,0.368421053,0.527777778,0.511627907,0.381818182,0.492537313,X,X,X,X,X,X
10626,"SNYDER, Marion Gene",House,Republican,Right,0.26,0.298,KY,1928,2007,silent,South,1003,457,0.455633101,88,99,11,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.586206897,X,0.595238095,0.540540541,0.616666667,0.740740741,0.550561798,0.406060606,0.466216216,0.297297297,0.422222222,0.216981132,X,X,X
14305,"HART, Gary Warren",Senate,Democrat,Center,-0.422,0.087,CO,1936,NA,silent,Rockies,549,250,0.455373406,94,99,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.431818182,0.39,0.258426966,0.516129032,0.630434783,0.54887218,X,X,X
6186,"McCOWEN, Edward Oscar",House,Republican,Center,0.465,-0.426,OH,1877,1953,missionary,Midwest,55,25,0.454545455,78,80,3,X,X,X,X,0.210526316,0.45,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
29147,"SANDERS, Bernard",House,Independent,Left,-0.527,-0.373,VT,1941,NA,silent,North,44,20,0.454545455,102,116,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.454545455
14252,"McDONALD, Lawrence Patton",House,Democrat,Right,0.884,0.343,GA,1935,1983,silent,South,559,254,0.454382826,94,98,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.586206897,0.4,0.503401361,0.336538462,0.5,X,X,X,X
14209,"BRODHEAD, William McNulty",House,Democrat,Left,-0.463,-0.427,MI,1941,NA,silent,Midwest,507,230,0.453648915,94,97,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.340909091,0.518072289,0.398648649,0.523809524,X,X,X,X,X
14432,"LEACH, James Albert Smith",House,Republican,Center,0.141,-0.79,IA,1942,NA,silent,Midwest,957,434,0.453500522,95,109,8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.420118343,0.375,0.378378378,0.563909774,0.608695652,0.509803922,0.370786517,0.255813953
2538,"D'EWART, Wesley Abner",House,Republican,Right,0.297,0.008,MT,1889,1973,lost,Rockies,64,29,0.453125,79,83,5,X,X,X,X,X,0.333333333,0.4375,0.615384615,0.363636364,0.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1570,"CASE, Francis Higbee",House,Republican,Right,0.239,0.032,SD,1896,1962,lost,Midwest,351,159,0.452991453,75,87,13,X,1,0.7,0.368421053,0.263157895,0.238095238,0.3125,0.333333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1570,"CASE, Francis Higbee",Senate,Republican,Right,0.239,0.032,SD,1896,1962,lost,Midwest,351,159,0.452991453,75,87,13,X,X,X,X,X,X,X,X,0.411764706,0.473684211,0.6,0.361111111,0.282608696,0.619047619,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15010,"BOUCHER, Frederick C.",House,Democrat,Center,-0.265,0.189,VA,1946,NA,boomer,South,517,234,0.452611219,98,111,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.424,0.558558559,0.493506494,0.367816092,0.275
14214,"DOWNEY, Thomas Joseph",House,Democrat,Left,-0.384,-0.341,NY,1949,NA,boomer,North,1039,470,0.452358037,94,102,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.311111111,0.447852761,0.358208955,0.453703704,0.544776119,0.626086957,0.519230769,0.389473684,0.204545455
13013,"DRINAN, Robert Frederick",House,Democrat,Left,-0.422,-0.71,MA,1920,2007,greatest,North,555,251,0.452252252,92,96,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.533333333,0.438202247,0.344444444,0.520710059,0.414965986,X,X,X,X,X,X
10525,"HARSHA, William Howard",House,Republican,Right,0.188,0.122,OH,1921,2010,greatest,Midwest,712,322,0.452247191,87,96,10,X,X,X,X,X,X,X,X,X,X,X,X,X,0.526315789,0.533333333,0.547169811,0.526315789,0.409090909,0.333333333,0.46835443,0.38372093,0.423312883,0.488188976,X,X,X,X,X,X
10553,"ROUSSELOT, John Harbin",House,Republican,Right,0.601,0.164,CA,1927,2003,greatest,West,659,298,0.452200303,87,97,8,X,X,X,X,X,X,X,X,X,X,X,X,X,0.619047619,X,X,X,0.692307692,0.508474576,0.578313253,0.481927711,0.415584416,0.415384615,0.284210526,X,X,X,X,X
14613,"COELHO, Tony",House,Democrat,Center,-0.413,0.344,CA,1942,NA,silent,West,635,287,0.451968504,96,101,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.375,0.264150943,0.524193548,0.598130841,0.486666667,0.5,X
10576,"BURTON, Laurence Junior",House,Republican,Right,0.179,0.013,UT,1926,2002,greatest,Rockies,135,61,0.451851852,88,91,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.576923077,0.4375,0.513513514,0.25,X,X,X,X,X,X,X,X,X,X,X
10303,"WOLCOTT, Jesse Paine",House,Republican,Center,0.324,-0.306,MI,1893,1969,lost,Midwest,197,89,0.45177665,72,84,11,0.666666667,0.8,0.666666667,0.447368421,0.333333333,0.428571429,0.1875,0.583333333,0.363636364,0.25,0.142857143,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
293,"AUSTIN, Albert Elmer",House,Republican,Center,0.271,-0.263,CT,1877,1942,missionary,North,31,14,0.451612903,76,76,1,X,X,0.451612903,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14808,"COYNE, William Joseph",House,Democrat,Left,-0.494,-0.119,PA,1936,2013,silent,North,645,291,0.451162791,97,107,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.351851852,0.450381679,0.628318584,0.516339869,0.389473684,0.155555556
15013,"BRYANT, John Wiley",House,Democrat,Center,-0.358,0.135,TX,1947,NA,boomer,Southwest,511,230,0.450097847,98,104,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.480916031,0.526315789,0.473333333,0.305555556,0.318181818
2634,"DOCKWEILER, John Francis",House,Democrat,Left,-0.34,-0.272,CA,1895,1943,lost,West,20,9,0.45,73,75,2,0.545454545,0.333333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7816,"REILLY, Michael Kieran",House,Democrat,Left,-0.229,-0.019,WI,1869,1944,missionary,Midwest,20,9,0.45,63,75,2,0.272727273,0.666666667,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8880,"STEIWER, Frederick",Senate,Republican,Right,0.424,0.217,OR,1883,1939,lost,West,20,9,0.45,70,75,2,0.4375,0.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9148,"TACKETT, Boyd Anderson",House,Democrat,Right,-0.1,0.832,AR,1911,1985,greatest,South,20,9,0.45,81,82,2,X,X,X,X,X,X,X,0.583333333,0.25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
458,"BARR, Joseph Walker",House,Democrat,Center,-0.163,0.185,IN,1918,1996,greatest,Midwest,20,9,0.45,86,86,1,X,X,X,X,X,X,X,X,X,X,X,X,0.45,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14019,"HANRAHAN, Robert Paul",House,Republican,Center,0.283,-0.048,IL,1934,2011,silent,Midwest,80,36,0.45,93,93,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.45,X,X,X,X,X,X,X,X,X
29145,"WASHINGTON, Craig Anthony",House,Democrat,Left,-0.766,-0.439,TX,1941,NA,silent,Southwest,60,27,0.45,101,103,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.35,0.5
11048,"SCOTT, William Lloyd",House,Republican,Right,0.422,0.385,VA,1915,1997,greatest,South,434,195,0.449308756,90,95,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.452380952,0.434782609,0.344827586,X,X,X,X,X,X,X,X,X,X
11048,"SCOTT, William Lloyd",Senate,Republican,Right,0.422,0.385,VA,1915,1997,greatest,South,434,195,0.449308756,90,95,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.427272727,0.5,0.5,X,X,X,X,X,X,X
15619,"PAYNE, Donald Milford",House,Democrat,Left,-0.592,-0.547,NJ,1934,2012,silent,North,138,62,0.449275362,101,112,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.5,0.340909091
5803,"LOVRE, Harold Orrin",House,Republican,Right,0.306,0.05,SD,1904,1972,greatest,Midwest,49,22,0.448979592,81,84,4,X,X,X,X,X,X,X,0.5,0.333333333,0.538461538,0.428571429,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9895,"WEAVER, Phillip Hart",House,Republican,Right,0.24,0.215,NE,1919,1989,greatest,Midwest,98,44,0.448979592,84,87,4,X,X,X,X,X,X,X,X,X,X,0.461538462,0.571428571,0.578947368,0.289473684,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4482,"HOEVEN, Charles Bernard",House,Republican,Right,0.317,0.009,IA,1895,1980,lost,Midwest,223,100,0.448430493,78,88,11,X,X,X,X,0.2,0.333333333,0.333333333,0.583333333,0.5,0.5,0.5,0.428571429,0.3,0.571428571,0.620689655,X,X,X,X,X,X,X,X,X,X,X,X,X,X
680,"BETTS, Jackson Edward",House,Republican,Center,0.359,-0.03,OH,1904,1993,greatest,Midwest,348,156,0.448275862,82,92,11,X,X,X,X,X,X,X,X,0.416666667,0.461538462,0.428571429,0.555555556,0.5,0.534883721,0.548387097,0.489795918,0.43902439,0.380952381,0.285714286,X,X,X,X,X,X,X,X,X,X
1722,"CHURCH, Marguerite Stitt",House,Republican,Center,0.307,-0.082,IL,1892,1990,lost,Midwest,134,60,0.447761194,82,87,6,X,X,X,X,X,X,X,X,0.5,0.5,0.466666667,0.482758621,0.428571429,0.395348837,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10734,"HANSEN, George Vernon",House,Republican,Right,0.621,0.339,ID,1930,2014,silent,Rockies,621,278,0.447665056,89,98,7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.488888889,0.6,X,X,X,0.6,0.422818792,0.507692308,0.247706422,0.435897436,X,X,X,X
10782,"WATKINS, George Robert",House,Republican,Right,0.285,0.02,PA,1902,1970,greatest,North,105,47,0.447619048,89,91,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.431818182,0.571428571,0.307692308,X,X,X,X,X,X,X,X,X,X,X
2227,"CRUMPACKER, Shepard J., Jr.",House,Republican,Center,0.257,-0.186,IN,1917,1986,greatest,Midwest,38,17,0.447368421,82,84,3,X,X,X,X,X,X,X,X,0.272727273,0.428571429,0.615384615,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15008,"BORSKI, Robert Anthony, Jr.",House,Democrat,Center,-0.416,0.406,PA,1948,NA,boomer,North,541,242,0.447319778,98,107,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.474074074,0.608695652,0.477419355,0.290322581,0.162790698
13030,"METCALFE, Ralph Harold",House,Democrat,Left,-0.564,-0.144,IL,1910,1978,greatest,Midwest,322,144,0.447204969,92,95,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.47826087,0.416666667,0.315068493,0.526717557,X,X,X,X,X,X,X
10060,"WHITENER, Basil Lee",House,Democrat,Right,-0.028,1,NC,1915,1989,greatest,South,208,93,0.447115385,85,90,6,X,X,X,X,X,X,X,X,X,X,X,0.384615385,0.684210526,0.384615385,0.466666667,0.423076923,0.452380952,X,X,X,X,X,X,X,X,X,X,X,X
7022,"O'DAY, Caroline Love Goodwin",House,Democrat,Left,-0.609,-0.793,NY,1875,1943,missionary,North,56,25,0.446428571,74,77,4,0.25,0.8,0.392857143,0.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2,"ABBITT, Watkins Moorman",House,Democrat,Right,0.09,0.972,VA,1908,1998,greatest,South,345,154,0.446376812,80,92,13,X,X,X,X,X,X,0,0,0,0.384615385,0.428571429,0.444444444,0.619047619,0.476190476,0.555555556,0.545454545,0.625,0.46875,0.333333333,X,X,X,X,X,X,X,X,X,X
7777,"REECE, Brazilla Carroll",House,Republican,Right,0.252,0.067,TN,1889,1961,lost,South,195,87,0.446153846,67,87,12,0.9,0.363636364,0.6,0.405405405,0.1875,0.4,X,X,0.545454545,0.333333333,0.5,0.37037037,0.428571429,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
891,"BOW, Frank Townsend",House,Republican,Center,0.373,-0.098,OH,1901,1972,greatest,Midwest,334,149,0.446107784,82,92,11,X,X,X,X,X,X,X,X,0.454545455,0.5,0.533333333,0.538461538,0.473684211,0.571428571,0.655172414,0.530612245,0.558823529,0.272727273,0.117647059,X,X,X,X,X,X,X,X,X,X
10767,"SATTERFIELD, David Edward, III",House,Democrat,Right,0.265,0.831,VA,1920,1988,greatest,South,686,306,0.44606414,89,96,8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.518518519,0.585365854,0.425,0.37704918,0.483146067,0.533333333,0.365269461,0.430555556,X,X,X,X,X,X
10580,"CLAWSON, Delwin Morgan",House,Republican,Right,0.483,0.132,CA,1914,1992,greatest,West,491,219,0.446028513,88,95,8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.625,0.538461538,0.525,0.41025641,0.327272727,0.472972973,0.465116279,0.395522388,X,X,X,X,X,X,X
14280,"WAXMAN, Henry Arnold",House,Democrat,Left,-0.473,-0.343,CA,1939,NA,silent,West,962,429,0.445945946,94,113,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.282051282,0.48,0.346774194,0.38317757,0.558333333,0.647619048,0.489655172,0.388888889,0.23255814
1545,"CARTER, Albert Edward",House,Republican,Center,0.163,-0.423,CA,1881,1964,missionary,West,101,45,0.445544554,69,78,5,0.454545455,0.6,0.620689655,0.333333333,0.266666667,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14408,"CAPUTO, Bruce Faulkner",House,Republican,Center,0.152,-0.701,NY,1943,NA,silent,North,128,57,0.4453125,95,95,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.4453125,X,X,X,X,X,X,X
14877,"KENNELLY, Barbara Bailey",House,Democrat,Left,-0.346,-0.13,CT,1936,NA,silent,North,589,262,0.444821732,97,105,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.392156863,0.477272727,0.614035088,0.467105263,0.326315789,0.155555556
5425,"LAMNECK, Arthur Philip",House,Democrat,Right,0.017,0.329,OH,1880,1944,missionary,Midwest,9,4,0.444444444,72,75,2,1,0.375,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9486,"TRUAX, Charles Vilas",House,Democrat,Left,-0.422,-0.907,OH,1887,1935,lost,Midwest,9,4,0.444444444,73,74,1,0.444444444,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5728,"LLOYD, Wesley",House,Democrat,Center,-0.241,0.074,WA,1883,1936,lost,West,9,4,0.444444444,73,74,1,0.444444444,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8495,"SHUFORD, George Adams",House,Democrat,Right,0.014,1,NC,1895,1962,lost,South,45,20,0.444444444,83,85,3,X,X,X,X,X,X,X,X,X,0.5,0.428571429,0.411764706,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
3242,"FLYNT, John James, Jr.",House,Democrat,Right,0,1,GA,1914,2007,greatest,South,599,266,0.444073456,84,95,12,X,X,X,X,X,X,X,X,X,X,0.5,0.5,0.6,0.486486486,0.24137931,0.375,0.65625,0.432432432,0.456521739,0.662790698,0.409638554,0.303225806,X,X,X,X,X,X,X
11062,"PRICE, Robert Dale",House,Republican,Right,0.304,0.523,TX,1927,2004,greatest,Southwest,214,95,0.443925234,90,93,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.558139535,0.421052632,0.384615385,0.432098765,X,X,X,X,X,X,X,X,X
15077,"WISE, Robert Ellsworth, Jr.",House,Democrat,Center,-0.32,0.253,WV,1948,NA,boomer,South,543,241,0.443830571,98,106,5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.496296296,0.578947368,0.462025316,0.285714286,0.2
3569,"GIFFORD, Charles Laceille",House,Republican,Center,0.315,-0.267,MA,1871,1947,missionary,North,106,47,0.443396226,67,80,7,0.777777778,0.7,0.551724138,0.347826087,0.142857143,0.3,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1941,"COLLIER, Harold Reginald",House,Republican,Center,0.378,-0.213,IL,1915,2006,greatest,Midwest,386,171,0.443005181,85,93,9,X,X,X,X,X,X,X,X,X,X,X,0.592592593,0.571428571,0.45,0.642857143,0.5,0.58974359,0.348837209,0.293103448,0.333333333,X,X,X,X,X,X,X,X,X
96738,"MORSE, Wayne Lyman",Senate,Republican,Left,-0.186,-0.697,OR,1900,1974,lost,West,526,233,0.442965779,79,82,4,X,X,X,X,X,0.157894737,0.05,0.074074074,0.176470588,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6738,"MORSE, Wayne Lyman",Senate,Independent,Left,-0.851,0.525,OR,1900,1974,lost,West,526,233,0.442965779,83,90,8,X,X,X,X,X,X,X,X,X,0.263157895,0.153846154,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6738,"MORSE, Wayne Lyman",Senate,Democrat,Left,-0.851,0.525,OR,1900,1974,lost,West,526,233,0.442965779,83,90,8,X,X,X,X,X,X,X,X,X,X,X,0.526315789,0.404255319,0.213114754,0.71875,0.72972973,0.670454545,X,X,X,X,X,X,X,X,X,X,X,X
14257,"MINETA, Norman Y.",House,Democrat,Left,-0.479,-0.01,CA,1931,NA,silent,West,1038,459,0.442196532,94,104,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.238636364,0.441717791,0.331081081,0.354545455,0.556390977,0.640350877,0.563758389,0.420454545,0.222222222
14920,"KERRY, John Forbes",Senate,Democrat,Left,-0.352,-0.382,MA,1943,NA,silent,North,441,195,0.442176871,99,113,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.515151515,0.5,0.375,0.298507463
4154,"HARTKE, Rupert Vance",Senate,Democrat,Center,-0.42,0.238,IN,1919,2003,greatest,Midwest,631,279,0.442155309,86,94,9,X,X,X,X,X,X,X,X,X,X,X,X,0.347826087,0.111111111,0.166666667,0.347826087,0.454545455,0.52238806,0.692307692,0.642857143,0.436619718,X,X,X,X,X,X,X,X
5757,"LONG, George Shannon",House,Democrat,Right,-0.222,0.975,LA,1883,1958,lost,South,43,19,0.441860465,83,85,3,X,X,X,X,X,X,X,X,X,0.5,0.4,0.4375,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9174,"TALMADGE, Herman Eugene",Senate,Democrat,Right,-0.091,0.996,GA,1913,2002,greatest,South,908,401,0.441629956,85,96,12,X,X,X,X,X,X,X,X,X,X,X,0.763157895,0.680851064,0.612903226,0.698412698,0.555555556,0.358974359,0.3,0.305970149,0.371428571,0.376623377,0.465909091,0.287671233,X,X,X,X,X,X
14034,"MARAZITI, Joseph James",House,Republican,Center,0.148,-0.2,NJ,1912,1991,greatest,North,77,34,0.441558442,93,93,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.441558442,X,X,X,X,X,X,X,X,X
