"","bioname","79","80","81","82","83","84","85","86","87","88","89","90","iso_num","int_num","total_vote","iso_per","wing","nominate_dim1","nominate_dim2","session_no"
"36","DARBY, Harry",NA,NA,2333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,8,0.375,"Right",0.218,0.265,1
"37","DIRKSEN, Everett McKinley",NA,NA,NA,2609,2609,2609,2609,2609,2609,2609,2609,2609,102,243,345,0.295652173913043,"Center",0.317,-0.498,9
"38","DOMINICK, Peter Hoyt",NA,NA,NA,NA,NA,NA,NA,NA,NA,10514,10514,10514,83,77,160,0.51875,"Center",0.369,-0.434,3
"39","DONNELL, Forrest C.",2656,2656,2656,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,43,57,0.245614035087719,"Center",0.204,-0.063,3
"40","DUFF, James Henderson",NA,NA,NA,2745,2745,2745,NA,NA,NA,NA,NA,NA,4,67,71,0.0563380281690141,"Center",0.091,-0.666,3
"41","DWORSHAK, Henry Clarence",NA,2803,2803,2803,2803,2803,2803,2803,2803,NA,NA,NA,151,60,211,0.71563981042654,"Right",0.402,0.056,8
"42","ECTON, Zales Nelson",NA,2838,2838,2838,NA,NA,NA,NA,NA,NA,NA,NA,33,15,48,0.6875,"Right",0.432,0.419,3
"43","FANNIN, Paul Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10804,10804,64,47,111,0.576576576576577,"Right",0.512,0.028,2
"44","FERGUSON, Homer Samuel",3110,3110,3110,3110,3110,NA,NA,NA,NA,NA,NA,NA,18,68,86,0.209302325581395,"Center",0.32,-0.947,5
"45","FLANDERS, Ralph Edward",NA,3206,3206,3206,3206,3206,3206,NA,NA,NA,NA,NA,11,122,133,0.0827067669172932,"Center",0.175,-0.789,6
"46","FONG, Hiram Leong",NA,NA,NA,NA,NA,NA,NA,3255,3255,3255,3255,3255,89,150,239,0.372384937238494,"Center",0.165,-0.515,5
"47","GOLDWATER, Barry Morris",NA,NA,NA,NA,3658,3658,3658,3658,3658,3658,NA,NA,170,50,220,0.772727272727273,"Center",0.641,-0.289,6
"48","GRIFFIN, Robert Paul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3824,3824,18,44,62,0.290322580645161,"Center",0.327,-0.68,2
"49","GRISWOLD, Dwight Palmer",NA,NA,NA,NA,3839,NA,NA,NA,NA,NA,NA,NA,1,9,10,0.1,"Center",0.21,-0.478,1
"50","GURNEY, John Chandler (Chan)",3882,3882,3882,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,41,55,0.254545454545455,"Center",0.217,-0.117,3
"51","HANSEN, Clifford Peter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11202,29,12,41,0.707317073170732,"Center",0.489,-0.036,1
"52","HART, Thomas Charles",4150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,17,0.352941176470588,"Center",0.241,-0.942,1
"53","HATFIELD, Mark Odom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11203,10,37,47,0.212765957446809,"Center",0.056,-0.773,1
"54","HAWKES, Albert Wahl",4210,4210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,27,0.592592592592593,"Center",0.417,-0.047,2
"55","HENDRICKSON, Robert Clymer",NA,NA,4321,4321,4321,NA,NA,NA,NA,NA,NA,NA,12,45,57,0.210526315789474,"Center",0.248,-0.969,3
"56","HICKENLOOPER, Bourke Blakemore",4382,4382,4382,4382,4382,4382,4382,4382,4382,4382,4382,4382,105,288,393,0.267175572519084,"Center",0.372,-0.316,12
"57","HOBLITZELL, John Dempsey, Jr.",NA,NA,NA,NA,NA,NA,4473,NA,NA,NA,NA,NA,6,9,15,0.4,"Center",0.282,-0.444,1
"58","HRUSKA, Roman Lee",NA,NA,NA,NA,4660,4660,4660,4660,4660,4660,4660,4660,248,84,332,0.746987951807229,"Center",0.446,-0.063,8
"59","IVES, Irving McNeil",NA,4834,4834,4834,4834,4834,4834,NA,NA,NA,NA,NA,8,135,143,0.0559440559440559,"Center",0.043,-0.999,6
"60","JAVITS, Jacob Koppel",NA,NA,NA,NA,NA,NA,4898,4898,4898,4898,4898,4898,10,268,278,0.0359712230215827,"Left",-0.124,-0.992,6
"61","JENNER, William Ezra",NA,4922,4922,4922,4922,4922,4922,NA,NA,NA,NA,NA,105,22,127,0.826771653543307,"Center",0.572,-0.011,6
"62","JORDAN, Leonard Beck (Len)",NA,NA,NA,NA,NA,NA,NA,NA,10807,10807,10807,10807,128,52,180,0.711111111111111,"Center",0.373,-0.36,4
"63","KEATING, Kenneth Barnard",NA,NA,NA,NA,NA,NA,NA,5116,5116,5116,NA,NA,22,127,149,0.147651006711409,"Center",0.131,-0.991,3
"64","KEM, James Preston",NA,5158,5158,5158,NA,NA,NA,NA,NA,NA,NA,NA,40,11,51,0.784313725490196,"Center",0.499,-0.057,3
"65","KNOWLAND, William Fife",5343,5343,5343,5343,5343,5343,5343,NA,NA,NA,NA,NA,28,129,157,0.178343949044586,"Center",0.227,-0.453,7
"66","KUCHEL, Thomas Henry",NA,NA,NA,NA,5372,5372,5372,5372,5372,5372,5372,5372,52,301,353,0.147308781869688,"Center",0.098,-0.61,8
"67","LANGER, William",5452,5452,5452,5452,5452,5452,5452,5452,NA,NA,NA,NA,128,40,168,0.761904761904762,"Right",0.023,0.436,8
"68","LODGE, Henry Cabot, Jr.",NA,5739,5739,5739,NA,NA,NA,NA,NA,NA,NA,NA,2,50,52,0.0384615384615385,"Center",0.083,-0.997,3
"69","MALONE, George Wilson",NA,5944,5944,5944,5944,5944,5944,NA,NA,NA,NA,NA,115,21,136,0.845588235294118,"Right",0.312,0.413,6
"70","MARTIN, Edward",NA,6021,6021,6021,6021,6021,6021,NA,NA,NA,NA,NA,41,88,129,0.317829457364341,"Center",0.441,-0.497,6
"71","MARTIN, Thomas Ellsworth",NA,NA,NA,NA,NA,6039,6039,6039,NA,NA,NA,NA,15,94,109,0.137614678899083,"Center",0.304,-0.17,3
"72","McCARTHY, Joseph Raymond",NA,6137,6137,6137,6137,6137,6137,NA,NA,NA,NA,NA,49,62,111,0.441441441441441,"Right",0.287,0.01,6
"73","MECHEM, Edwin Leard",NA,NA,NA,NA,NA,NA,NA,NA,NA,10811,NA,NA,42,7,49,0.857142857142857,"Center",0.585,-0.21,1
"74","MILLER, Jack Richard",NA,NA,NA,NA,NA,NA,NA,NA,10812,10812,10812,10812,113,107,220,0.513636363636364,"Center",0.326,-0.418,4
"75","MILLIKIN, Eugene Donald",6525,6525,6525,6525,6525,6525,NA,NA,NA,NA,NA,NA,32,98,130,0.246153846153846,"Center",0.271,-0.079,6
"76","MOORE, Edward Hall",6629,6629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3,26,0.884615384615385,"Right",0.642,0.52,2
"77","MORSE, Wayne Lyman",96738,96738,96738,96738,NA,NA,NA,NA,NA,NA,NA,NA,5,65,70,0.0714285714285714,"Left",-0.186,-0.697,4
"78","MORTON, Thruston Ballard",NA,NA,NA,NA,NA,NA,6745,6745,6745,6745,6745,6745,40,210,250,0.16,"Center",0.2,-0.4,6
"79","MUNDT, Karl Earl",NA,NA,6796,6796,6796,6796,6796,6796,6796,6796,6796,6796,203,186,389,0.521850899742931,"Center",0.275,-0.018,10
"80","MURPHY, George Lloyd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10814,10814,64,47,111,0.576576576576577,"Center",0.341,-0.251,2
"81","MURPHY, Maurice J., Jr.",NA,NA,NA,NA,NA,NA,NA,NA,10815,NA,NA,NA,24,3,27,0.888888888888889,"Center",0.331,-0.13,1
"82","NIXON, Richard Milhous",NA,NA,6939,6939,NA,NA,NA,NA,NA,NA,NA,NA,2,12,14,0.142857142857143,"Center",0.162,-0.388,2
"83","PAYNE, Frederick George",NA,NA,NA,NA,7271,7271,7271,NA,NA,NA,NA,NA,6,88,94,0.0638297872340425,"Center",0.094,-0.514,3
"84","PEARSON, James Blackwood",NA,NA,NA,NA,NA,NA,NA,NA,10817,10817,10817,10817,78,99,177,0.440677966101695,"Center",0.134,-0.47,4
"85","PERCY, Charles Harting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11205,7,39,46,0.152173913043478,"Center",0.099,-0.861,1
"86","POTTER, Charles Edward",NA,NA,NA,NA,7551,7551,7551,NA,NA,NA,NA,NA,16,70,86,0.186046511627907,"Center",0.249,-0.438,3
"87","PROUTY, Winston Lewis",NA,NA,NA,NA,NA,NA,NA,7637,7637,7637,7637,7637,60,172,232,0.258620689655172,"Center",0.17,-0.564,5
"88","PURTELL, William Arthur",NA,NA,NA,NA,7656,7656,7656,NA,NA,NA,NA,NA,7,87,94,0.074468085106383,"Center",0.186,-0.829,3
"89","REED, Clyde Martin",7780,7780,7780,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,31,0.225806451612903,"Right",0.323,0.033,3
"90","REVERCOMB, William Chapman",7826,7826,NA,NA,NA,NA,7826,NA,NA,NA,NA,NA,35,19,54,0.648148148148148,"Right",0.28,0.069,3
"91","ROBERTSON, Edward Vivian",7960,7960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8,22,0.636363636363636,"Right",0.368,0.404,2
"92","SALTONSTALL, Leverett",8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,NA,42,323,365,0.115068493150685,"Center",0.175,-0.536,11
"93","SCHOEPPEL, Andrew Frank",NA,NA,8270,8270,8270,8270,8270,8270,8270,NA,NA,NA,108,82,190,0.568421052631579,"Right",0.377,0.012,7
"94","SCOTT, Hugh Doggett, Jr.",NA,NA,NA,NA,NA,NA,NA,8301,8301,8301,8301,8301,57,203,260,0.219230769230769,"Center",0.162,-0.823,5
